position,title,user,views,likes,comments,original_music,musicTitle,musicId,date
1,I couldn’t believe it,sara; 6713672886181954566,21000000,1300000,10900,True,original sound,7360726823300320043,2024-05-16
2,Replying to @L0S3R #petok #cats  as requested 😭,Moneymeow; 6668098280343666694,29700000,5800000,39900,True,original sound,7113301022029777710,2024-05-16
3,COME HERE 😭 #viral #xyzabc #vape #nic #repost ,tatii ✝️; 7265900059039794218,2100000,219000,3766,True,FREE G SDOT GO,7240867535283915563,2024-05-16
4,,sophie rain; 7222279428985996331,7300000,776300,1379,True,fairy by 9lives,7202284315567229738,2024-05-16
5,Character development #fyp ,Micah; 6902123158339650565,8200000,1400000,6794,True,original sound,7336999528635058987,2024-05-16
6,someone edit this man 🙌 II #sturniolos #sturniolotriplets #sturniolotripletfunny #nicolasstruniolo #mattsturniolo #chrissturniolo II@Nicolas Sturniolo @Matt @Christopher Sturniolo ,jersey; 7183766301294560302,4400000,947000,1210,True,original sound,7349312471993273119,2024-05-16
7,Drunk @Joshua Block on the LIRR Train. @michaelquinnjagg0 #worldoftshirts #michaelquinn #joshuablock ,Whatchamacallit's; 7353125629486253102,25200000,2000000,12600,True,original sound,7090314630605589290,2024-05-16
8,me an bro 🤝 #jimmyneutron #sheenestevez ,Maya Winky; 6973520867876537349,10700000,2100000,6971,True,Gonna kill u by insane clown posse,7232547664326429482,2024-05-16
9,put a finger down ugly edition 😂😏 how many fingers do have left 🤔  #putfingersdown #putafingerdown💕 #putafingerdownchallenge #challenge #game #quiz #learnontiktok #fyp #viral ,Funny animals ❤️; 7329677045373240363,1500000,58800,12000,True,original sound,7345169798617434922,2024-05-16
10,we’re dad and daughter👍🏾 #fyp #darkeyebrows #dadanddaughtergoals ,Michela🤙🏾; 6657524992828162053,19100000,4100000,10200,True,original sound,7350454988004395819,2024-05-16
11,i was playin ts by myself at night 💀 #fyp #fortnite #fortnitecreative #fortnitecreativemaps #fortnitehorrormap ,DT; 7335708519876658219,39700000,4600000,143500,True,original sound,7349820165812538158,2024-05-16
12,Perfect 😘‼️ #fyp #viral #jessate ,Jess💕; 6604019535551397893,7900000,903900,2136,False,Stick Em 2k20,6781572601882970886,2024-05-16
13,We in this FOREVER 🤍 #capcut #marriage #mineforever #fypシ #Meme #MemeCut @Zeke Neal ,Tiffany 🖤; 6815368183710630918,8900000,896500,5419,True,original sound,7359022910894623534,2024-05-16
14,“MY WHAT?!” #fyp #dad #foryou ,Steven Tirone; 6662499537276846085,3300000,351700,1060,True,original sound,7362971756207852331,2024-05-16
15,The ultimate Bidd 😭 #fyp #blow#this#up#viral#track #field ,Tpendergrass23; 6687320625806050310,51300000,5000000,44700,True,original sound,7354818410917743402,2024-05-16
16,bc y is u playin #punchingmachine #boxing #fypシ ,t; 7163782159271101486,54200000,5900000,23200,False,RAHHHH (sped up),7267271103374002178,2024-05-16
17,This was a a fail😂😭,DKTHEMENACE; 7133037990921667626,13400000,3000000,14200,True,original sound,7337065771694164778,2024-05-16
18,win some you lose some ,Kj; 6912559460201235462,1100000,130300,629,True,CARNIVAL,7333582478693403393,2024-05-16
19,#stitch with @Date Right Stuff ,jasmin 🍒; 6755329894710772742,7600000,1300000,3244,True,original sound,7351067817935178538,2024-05-16
20,Dolls on tour ,Alex Consani; 6824237401234244614,31900000,5200000,11300,True,original sound,7346257696644959006,2024-05-16
21,Im being forreal #rude #friends #paramore #herway #herwaychallenge #presidentdeborahalivilliams #deborahaliwilliams #floptok #flopera ,Toyy; 7162739740545647658,5700000,942400,5997,True,original sound,7353259747493710635,2024-05-16
22,He gets so emotional with the song like he understands it 😭❤️#mylovemineallmine #mitski #viral#fyp#cat#catsoftiktok #kitten#kittensoftiktok #sad#funny#funnycat @Mitski ,🎀mitskitty🎀; 7223571189843428398,72700000,15300000,100200,True,original sound,7340828822017100586,2024-05-16
23,#fypシ ,𝒯𝒾𝓃𝒶; 151966085481676800,5300000,662300,3185,True,original sound,7290201488888957728,2024-05-16
24,this video is so funny 😭😭😭😭,arleth ꨄ; 6888181449401451526,26600000,4000000,22500,True,who is coco,7356235257781275434,2024-05-16
25,They tuff until that alcohol hits them 😂🤣Soon as I step out 🎥🦆 #reels #reelsinstagram #reelsvideos #reelsindia #reelvideos #sonygear #gearaddict #reelslovers #houstonphotography #texasphotography #tomballphotographer #reelviral #barberlife #barber #barber #barbershopconnect #barberclips #tomballtx #magnolia #cypresstx #cameraman #sonyvideo#cameraman #reelsindia #funnyvideos #funnybarber #funnymoments #funnytiktok ,choppedbystev0; 6880575968696763397,71900000,6300000,33000,True,original sound,7345275272201046830,2024-05-16
26,I hate taking out the trash #fy #fypシ ,Cj So Cool; 6915213765044110341,1700000,194200,883,True,ITS DA DOOO DOOO TRUCKL,7170035044164176683,2024-05-16
27,I gotta change schools. #jjk#eclipse#domainexpansion#solareclipse2024#gojo#him ,Sperg; 6622068398480326661,30100000,6200000,33100,False,Requiem,6842895783717505025,2024-05-16
28,🙈 #foryoupage #fyp #blowthisup #viral ,Jae🤩; 7095866270457578538,4500000,1000000,4996,True,Like That by Laila,7193926274119732014,2024-05-16
29,Replying to @L0S3R #petok #cats  as requested 😭,Moneymeow; 6668098280343666694,29700000,5800000,39900,True,original sound,7113301022029777710,2024-05-16
30,Drunk @Joshua Block on the LIRR Train. @michaelquinnjagg0 #worldoftshirts #michaelquinn #joshuablock ,Whatchamacallit's; 7353125629486253102,25200000,2000000,12600,True,original sound,7090314630605589290,2024-05-16
31,we’re dad and daughter👍🏾 #fyp #darkeyebrows #dadanddaughtergoals ,Michela🤙🏾; 6657524992828162053,19100000,4100000,10200,True,original sound,7350454988004395819,2024-05-16
32,,sophie rain; 7222279428985996331,7300000,776300,1379,True,fairy by 9lives,7202284315567229738,2024-05-16
33,Replying to @lilsushi00 I’m a Voiceactor part 2…with friends 👀 #hawks #mirko #takemichi #kaveh #cookierunkingdom #genshinimpact #myheroacademia #tokyorevengers #voiceactor #anime   ,AJBecklesVO; 6962223465764176901,16900000,2700000,16300,True,original sound,7354664768407554862,2024-05-16
34,the fact they both thought the same thing 😭 #johnnieguilbert #jakewebber #jakeandjohnnie #johnnieguilbertandjakewebber #fyp #bsf #emo #alt ,kylie 💌; 6821293787555316741,5000000,704400,1162,True,original sound,7341922286942948139,2024-05-16
35,Get it Sexxxyyyyyy. Get your fav shade of tinsel. DM to book💋💙 ##tinsel##hairtinsel##tinselhair##fairycore##fairyhair##haircut##hairstyles##smallbusiness,Meli Muah💋; 7333330734457865258,6100000,967000,2361,False,Get It Sexyy,7342660098194148138,2024-05-16
36,Car insurance would go crazy😭🙏 #fyp ,Micah; 6902123158339650565,5300000,746900,2590,True,original sound,7361860659472124715,2024-05-16
